VerbNet class,Example members
convert-26.6.2-1,"change_over, convert, move_over, switch, switch_over"
cooking-45.3,"bake, barbecue, blanch, boil, braise, broil, brown, charbroil"
cooperate-73,
cooperate-73-1,"collaborate, cooperate, join"
cooperate-73-2,participate
cooperate-73-3,"labour, work"
cope-83,deal
cope-83-1,cope
cope-83-1-1,"manage, grapple, get_by, succeed"
correlate-86,"coincide, correlate, alternate"
correspond-36.1,"banter, bargain, coexist, collaborate, collide, commiserate, communicate, compromise"
correspond-36.1-1,agree
correspond-36.1-1-1,"debate, argue"
cost-54.2,"carry, cost, last, take"
crane-40.3.2,"arch, bare, bat, beat, blow, clench, click, close"
create-26.4,"coin, compose, compute, concoct, construct, contrive, create, derive"
create-26.4-1,"conjure, design, dig, mint, publish, rearrange, reconstitute, reorganize"
curtsey-40.3.3,"bob, bow, curtsey, genuflect, kneel, salaam, salute"
cut-21.1,
cut-21.1-1,"chip, clip, cut, hack, hew, saw, scrape, scratch"
debone-10.8,"deaccent, debark, debone, debowel, debug, debur, declaw, defang"
declare-29.4,
declare-29.4-1,maintain
declare-29.4-1-1,prove
declare-29.4-1-1-1,declare
declare-29.4-1-1-2,"find, judge"
declare-29.4-1-1-3,profess
declare-29.4-2,proclaim
dedicate-79,"dedicate, devote, commit"
defend-85,"defend, insure, protect, shade"
destroy-44,"annihilate, blitz, damage, decimate, demolish, desecrate, destroy, devastate"
devour-39.4,
devour-39.4-1,"consume, devour, ingest"
devour-39.4-2,"imbibe, swill"
differ-23.4,"branch, deviate, differ, diverge"
dine-39.5,"banquet, breakfast, brunch, dine, feast, graze, lunch, luncheon"
disappearance-48.2,"die, disappear, expire, lapse, perish, vanish"
disassemble-23.3,"detach, disassemble, disconnect, dismantle, dismount, partition, sift, sunder"
discover-84,"discover, ascertain"
discover-84-1,pick_up
discover-84-1-1,"hear, learn, read, study, find_out, figure_out"
dress-41.1.1,"bathe, change, clothe, disrobe, dress, exercise, preen, primp"
dressing_well-41.3.2,"doll, dress, spruce, tog"
drive-11.5,"drive, row, wheel"
drive-11.5-1,"barge, bus, cart, ferry, fly, shuttle, truck"
dub-29.3,"call, decree, dub, make, pronounce, rule, stamp, term"
dub-29.3-1,"anoint, baptize, brand, christen, consecrate, crown, label, name"
eat-39.1,
eat-39.1-1,eat
eat-39.1-2,drink
enforce-63,"enforce, impose"
engender-27,"beget, bring_about, cause, create, engender, generate, shape, sire"
entity_specific_cos-45.5,"blister, bloom, blossom, bud, burgeon, burn, corrode, decay"
entity_specific_modes_being-47.2,"billow, bloom, blossom, blow, breathe, bristle, bulge, burn"
equip-13.4.2,"charge, invest, ply"
equip-13.4.2-1,"arm, equip, rearm, redress, regale, reward, saddle"
equip-13.4.2-1-1,"armor, overburden, weight, burden, compensate"
escape-51.1,
escape-51.1-1,"ascend, ?climb, ?cross, depart, descend, disembark, enter, escape"
escape-51.1-2,"advance, approach, come, fall, go, plunge, recede, return"
escape-51.1-2-1,arrive
exceed-90,"exceed, excel, lap, outbid, outmatch, outnumber, outrace, outsmart"
exchange-13.6,"barter, replace"
exchange-13.6-1,"change, exchange, trade"
exchange-13.6-1-1,"substitute, swap"
exhale-40.1.3,
exhale-40.1.3-1,"exhale, perspire"
exhale-40.1.3-2,inhale
exist-47.1,overspread
exist-47.1-1,"coexist, ?correspond, ?depend, dwell, exist, extend, flourish, languish"
exist-47.1-1-1,"endure, survive"
feeding-39.7,"bottlefeed, breastfeed, feed, force-feed, handfeed, spoonfeed, suckle"
ferret-35.6,"ferret, nose, seek, tease"
fill-9.8,"adorn, anoint, bandage, bathe, bestrew, bind, blanket, block"
fill-9.8-1,"pollute, stain"
fit-54.3,"carry, contain, fit, feed, hold, house, seat, serve"
flinch-40.5,"balk, cower, cringe, flinch, recoil, shrink, wince"
floss-41.2.1,"brush, floss, shave, wash"
focus-87,"focus, center, concentrate, converge"
forbid-67,"ban, bar, block, deter, discourage, dissuade, forbid, hinder"
force-59,"bullock, bamboozle, coax, coerce, commission, compel, dare, draw"
force-59-1,"allure, annoy, arm-twist, bluff, blackmail, bounce, bribe, bully"
free-80,"liberate, discharge"
free-80-1,"absolve, acquit, clear, free, cure, relieve, emancipate, release"
fulfilling-13.4.1,"issue, leave, present, trust"
fulfilling-13.4.1-1,"credit, entrust, furnish, serve, supply"
fulfilling-13.4.1-2,provide
funnel-9.3,"ladle, hoe, scoop, siphon, sop"
funnel-9.3-1,dip
funnel-9.3-2,"channel, rake, shovel, spoon, squish, squash, tuck, wipe"
funnel-9.3-2-1,"bang, dump, hammer, pound, push, funnel, ram, shake"
future_having-13.3,"advance, allocate, allot, apportion, assign, award, bequeath, cede"
get-13.5.1,"attain, book, buy, call, catch, charter, choose, conserve"
get-13.5.1-1,"earn, fetch, cash, gain, get, save, steal"
give-13.1,"lend, loan, pass, peddle, refund, render, volunteer"
give-13.1-1,"give, hock, rent, sell, lease, pawn"
gobble-39.3,
gobble-39.3-1,"bolt, gobble, wolf"
