Number of documents in corpus,Document ID,Document,Number of Sentences in Document,Number of Words in Document,Number of Syllables in Document,Word1,Frequency1,Word2,Frequency2,Word3,Frequency3,Word4,Frequency4,Word5,Frequency5,Word6,Frequency6,Word7,Frequency7,Word8,Frequency8,Word9,Frequency9,Word10,Frequency10,Word11,Frequency11,Word12,Frequency12,Word13,Frequency13,Word14,Frequency14,Word15,Frequency15,Word16,Frequency16,Word17,Frequency17,Word18,Frequency18,Word19,Frequency19,Word20,Frequency20
5,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")",93,2202,2945,olia,21,one,11,meshcherskaia,10,said,10,principal,9,woman,9,cross,8,eye,8,happy,7,black,7,day,6,cold,6,school,6,hair,6,girl,5,nothing,5,took,5,face,5,two,5,time,5
5,2,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Faulkner - Dry September.txt"")",248,4406,5457,said,66,barber,35,mclendon,32,car,21,one,20,face,19,town,17,began,16,dust,16,white,14,went,14,man,13,know,13,dont,13,get,13,like,12,aint,12,eye,12,negro,11,another,11
5,3,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Murphy - Miracles thicker than fog.txt"")",215,3360,4296,could,28,u,17,see,15,plane,15,back,13,miracle,12,day,12,left,12,ground,12,foot,11,one,11,second,11,runway,11,fog,10,like,10,came,10,right,10,bomb,10,scotty,10,wheel,10
5,4,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Professor Dumbass.txt"")",15,925,1663,texas,50,carolina,47,georgia,31,tennessee,29,north,27,virginia,26,florida,23,south,22,kentucky,19,louisiana,16,alabama,12,new,9,mississippi,9,dallas,7,nashville,6,professor,5,dumbass,5,book,5,san,5,austin,5
5,5,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\The Three Little Pigs.txt"")",34,936,1029,pig,38,little,33,said,19,wolf,18,house,14,man,9,came,8,chin,6,huffed,6,puffed,6,got,6,come,5,get,5,ready,5,go,5,went,4,blow,4,well,4,nice,4,coming,4
