3-grams,Frequency,Sentence,Document ID,Document
the cold wind ,1,4,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
cold wind rings ,1,4,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
wind rings through ,1,4,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
rings through the ,1,4,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
through the leaves ,1,4,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
the leaves of ,1,4,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
leaves of the ,1,4,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
of the porcelain ,1,4,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
porcelain wreath at ,1,4,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
wreath at the ,1,4,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
at the foot ,1,4,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
the foot of ,1,4,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
foot of the ,1,4,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
of the cross ,1,4,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
The cross holds ,1,5,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
cross holds a ,1,5,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
holds a fairly ,1,5,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
a fairly large ,1,5,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
fairly large bronze ,1,5,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
large bronze medallion ,1,5,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
bronze medallion on ,1,5,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
medallion on it ,1,5,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
on it is ,1,5,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
it is the ,1,5,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
is the photograph ,1,5,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
the photograph of ,1,5,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
photograph of an ,1,5,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
of an elegant ,1,5,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
an elegant and ,1,5,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
elegant and lovely ,1,5,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
and lovely highschool ,1,5,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
lovely highschool girl ,1,5,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
highschool girl with ,1,5,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
girl with joyful ,1,5,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
with joyful uncommonly ,1,5,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
joyful uncommonly lively ,1,5,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
uncommonly lively eyes ,1,5,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
This was Olia ,1,6,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
was Olia Meshcherskaia ,1,6,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
As a girl ,1,7,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
a girl she ,1,7,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
girl she did ,1,7,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
she did not ,1,7,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
did not stand ,1,7,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
not stand out ,1,7,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
stand out in ,1,7,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
out in the ,1,7,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
in the noisy ,1,7,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
the noisy crowd ,1,7,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
noisy crowd of ,1,7,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
crowd of schoolgirls ,1,7,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
of schoolgirls all ,1,7,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
schoolgirls all dressed ,1,7,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
all dressed in ,1,7,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
dressed in brown ,1,7,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
in brown who ,1,7,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
brown who filled ,1,7,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
who filled the ,1,7,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
filled the halls ,1,7,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
the halls and ,1,7,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
halls and classrooms ,1,7,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
and classrooms of ,1,7,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
classrooms of the ,1,7,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
